month,year,ONS_pop_est,out_deaths_total,exp_days_dtoc,exp_days_acute,exp_days_nonacute,exp_patients_dtoc,exp_patients_acute,exp_patients_nonacute
August,2010,55692423,33775,109918,55332,54586,3546,1785,1761
September,2010,55692423,36842,115855,60316,55539,3862,2011,1851
October,2010,55692423,36159,113246,58362,54884,3653,1883,1770
November,2010,55692423,39409,113091,59184,53907,3770,1973,1797
December,2010,55692423,44988,116466,59665,56801,3757,1925,1832
January,2011,56170927,46835,114346,60125,54221,3689,1940,1749
February,2011,56170927,36733,112386,60809,51577,4014,2172,1842
March,2011,56170927,41342,123130,66097,57033,3972,2132,1840
April,2011,56170927,34521,108064,58407,49657,3602,1947,1655
May,2011,56170927,37437,113364,60638,52726,3657,1956,1701
June,2011,56170927,37398,117075,64607,52468,3903,2154,1749
July,2011,56170927,33275,115517,62140,53377,3726,2005,1722
August,2011,56170927,35924,117297,63288,54009,3784,2042,1742
September,2011,56170927,35893,117194,64717,52477,3906,2157,1749
October,2011,56170927,34740,116878,64459,52419,3770,2079,1691
November,2011,56170927,38020,114705,64241,50464,3824,2141,1682
December,2011,56170927,40744,112096,62663,49433,3616,2021,1595
January,2012,56567796,43882,111934,65054,46880,3611,2099,1512
February,2012,56567796,41861,109532,64590,44942,3777,2227,1550
March,2012,56567796,41299,119736,71449,48287,3862,2305,1558
April,2012,56567796,38928,108482,62117,46365,3616,2071,1546
May,2012,56567796,41087,119331,71521,47810,3849,2307,1542
June,2012,56567796,34303,110348,66702,43646,3678,2223,1455
July,2012,56567796,36657,117200,69519,47681,3781,2243,1538
August,2012,56567796,36435,120094,72827,47267,3874,2349,1525
September,2012,56567796,32934,114264,69679,44585,3809,2323,1486
October,2012,56567796,40394,116881,70875,46006,3770,2286,1484
November,2012,56567796,39330,116169,70718,45451,3872,2357,1515
December,2012,56567796,39669,107652,63743,43909,3473,2056,1416
January,2013,56948229,49492,125716,78035,47681,4055,2517,1538
February,2013,56948229,41002,109180,66555,42625,3899,2377,1522
March,2013,56948229,41915,115158,70492,44666,3715,2274,1441
April,2013,56948229,46352,113297,70028,43269,3777,2334,1442
May,2013,56948229,39475,120550,74884,45666,3889,2416,1473
June,2013,56948229,33503,112984,69457,43527,3766,2315,1451
July,2013,56948229,37260,111951,68658,43293,3611,2215,1397
August,2013,56948229,33322,122337,76373,45964,3946,2464,1483
September,2013,56948229,34350,118864,75297,43567,3962,2510,1452
October,2013,56948229,39585,123852,78487,45365,3995,2532,1463
November,2013,56948229,37322,116932,73791,43141,3898,2460,1438
December,2013,56948229,39974,112629,70132,42497,3633,2262,1371
January,2014,57408654,45929,124289,79261,45028,4009,2557,1453
February,2014,57408654,38566,112845,71872,40973,4030,2567,1463
March,2014,57408654,38573,123061,78887,44174,3970,2545,1425
April,2014,57408654,38729,116261,74055,42206,3875,2469,1407
May,2014,57408654,36880,126779,81292,45487,4090,2622,1467
June,2014,57408654,36058,124118,81164,42954,4137,2705,1432
July,2014,57408654,38512,133903,88035,45868,4319,2840,1480
August,2014,57408654,33640,137613,90639,46974,4439,2924,1515
September,2014,57408654,38339,138267,91885,46382,4609,3063,1546
October,2014,57408654,40201,142927,96564,46363,4611,3115,1496
November,2014,57408654,36967,140949,94918,46031,4698,3164,1534
December,2014,57408654,46481,139025,90825,48200,4485,2930,1555
January,2015,57885413,57034,150392,103163,47229,4851,3328,1524
February,2015,57885413,43727,134353,90705,43648,4798,3239,1559
March,2015,57885413,44809,140390,91466,48924,4529,2951,1578
April,2015,57885413,42286,138030,88686,49344,4601,2956,1645
May,2015,57885413,36713,137115,89125,47990,4423,2875,1548
June,2015,57885413,39289,139538,91102,48436,4651,3037,1615
July,2015,57885413,37916,147376,95266,52110,4754,3073,1681
August,2015,57885413,33823,145093,93109,51984,4680,3004,1677
September,2015,57885413,38876,147738,97738,50000,4925,3258,1667
October,2015,57885413,39458,160130,104090,56040,5165,3358,1808
November,2015,57885413,38883,153155,100364,52791,5105,3345,1760
December,2015,57885413,42495,154008,100311,53697,4968,3236,1732
January,2016,58381217,44387,159467,104012,55455,5144,3355,1789
February,2016,58381217,43033,158055,104253,53802,5450,3595,1855
March,2016,58381217,45308,169882,112856,57026,5480,3641,1840
April,2016,58381217,43755,168018,112890,55128,5601,3763,1838
May,2016,58381217,38716,172294,115500,56794,5558,3726,1832
June,2016,58381217,39378,173122,116691,56431,5771,3890,1881
July,2016,58381217,36484,184578,123877,60701,5954,3996,1958
August,2016,58381217,38006,187851,127038,60813,6060,4098,1962
September,2016,58381217,37742,196570,134256,62314,6552,4475,2077
October,2016,58381217,37835,200095,134207,65888,6455,4329,2125
November,2016,58381217,43523,193206,127672,65534,6440,4256,2184
December,2016,58381217,42624,195445,128001,67444,6305,4129,2176
January,2017,58744595,53675,197511,130477,67034,6371,4209,2162
February,2017,58744595,44815,186490,124558,61932,6660,4449,2212
March,2017,58744595,45594,199641,132774,66867,6440,4283,2157
April,2017,58744595,36422,176886,115539,61347,5896,3851,2045
May,2017,58744595,41383,178209,117067,61142,5749,3776,1972
June,2017,58744595,39447,177881,117072,60809,5929,3902,2027
July,2017,58744595,35940,181891,118150,63741,5867,3811,2056
August,2017,58744595,38341,180285,115872,64413,5816,3738,2078
September,2017,58744595,37535,168041,109753,58288,5601,3658,1943
October,2017,58744595,40745,169864,109886,59978,5479,3545,1935
November,2017,58744595,42690,155137,99627,55510,5171,3321,1850
December,2017,58744595,42295,145040,93638,51402,4679,3021,1658
January,2018,59115809,60075,151383,99046,52337,4883,3195,1688
February,2018,59115809,45918,140364,92334,48030,5013,3298,1715
March,2018,59115809,47726,154494,102438,52056,4984,3304,1679
April,2018,59115809,43478,145347,95085,50262,4845,3170,1675
May,2018,59115809,39951,139812,92311,47501,4510,2978,1532
June,2018,59115809,37213,135088,89096,45992,4503,2970,1533
July,2018,59115809,38059,140938,92283,48655,4546,2977,1570
August,2018,59115809,37610,146866,96173,50693,4738,3102,1635
September,2018,59115809,34682,144595,95410,49185,4820,3180,1640
October,2018,59115809,41466,146610,95696,50914,4729,3087,1642
November,2018,59115809,40971,136183,88289,47894,4539,2943,1596
December,2018,59115809,38710,128799,82348,46451,4155,2656,1498
January,2019,,50383,135428,86474,48954,4369,2789,1579
February,2019,,42848,127207,81964,45243,4543,2927,1616
March,2019,,41116,138776,90170,48606,4477,2909,1568
April,2019,,41164,130773,85220,45553,4359,2841,1518
May,2019,,41503,139415,91555,47860,4497,2953,1544
June,2019,,36180,135089,88339,46750,4503,2945,1558
July,2019,,39604,139903,92088,47815,4513,2971,1542
August,2019,,36269,148872,96410,52462,4802,3110,1692
